Código,Codel old,Descripción,Unidad de Medida,Cuenta contable,Estado
30034,,LAPIZ; COLOR AZUL; NUMERO N/A; ADITAMENTO NO TIENE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30035,,LAPIZ; COLOR VERDE; NUMERO N/A; ADITAMENTO NO TIENE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30036,,PORTA LAPICES; MATERIAL METALICO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30037,,BATERIA PARA VEHICULO; TENSION 12 Volt; AMPERAJE 70 Amp,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
30038,,BLOCK DE PAPEL; FORMATO CARTA; N° HOJAS 80; TIPO SABANA RAYADO; TIPO DE ENCUADERNACION ENGOMADO; PRESENTACION PIEZA,BLOCK,PAPEL,ACTIVO
30039,,PAD MOUSE; LARGO X ANCHO 20 X 15 cms.,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30040,,PAÑUELO DE PAPEL; CONTENIDO 10 Hojas; ENVASE BOLSA PLASTICA; HOJA TRIPLE; ANCHO X LARGO 22 X 22 cms.; AROMA MENTOLADO,PAQUETE,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30041,,LIMPIADORES MULTIUSOS; TIPO MULTIUSO; CONTENIDO 1 ltrs.; ENVASE FRASCO CON GATILLO,FRASCO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30042,,CONDUCTOR UNIPOLAR; AISLACION PVC; CLASE VN 2000; CORRIENTE ADMISIBLE 12 Amp; DIAM EXT 2.5 mms.; MATERIAL COBRE; PRESENTACION ROLLO DE 50 mts.; SECCI,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30043,,CONDUCTOR UNIPOLAR; AISLACION PVC; CLASE VN 2000; CORRIENTE ADMISIBLE 25 Amp; DIAM EXT 3.5; MATERIAL COBRE; PRESENTACION ROLOO DE 25 mts.; SECCION NO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30044,,CONDUCTOR UNIPOLAR; AISLACION PVC ESPECIAL-ANTILLAMA; CLASE 2; CORRIENTE ADMISIBLE 24 Amp; DIAM EXT 2.9 mms.; MATERIAL COBRE; PRESENTACION ROLLO X 10,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30045,,CONDUCTOR UNIPOLAR; AISLACION PVC ESPECIAL-ANTILLAMA; CLASE 2; CORRIENTE ADMISIBLE 32 Amp; DIAM EXT 3.8 mms.; MATERIAL COBRE; PRESENTACION ROLLO X 10,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30046,,PILA SECA; MEDIDA AA; TENSION 1.5 Volts.; TIPO ALCALINA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30047,,PILA SECA; MEDIDA AAA; TENSION 1.5 Volt; TIPO ALCALINA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30048,,PILA SECA; MEDIDA C; TENSION 1.5 Volt; TIPO ALCALINA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30049,,PILA SECA; MEDIDA D; TENSION 1.5 Volt; TIPO ALCALINA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30050,,"LINTERNA; ACCESORIO ENCHUFE SUPER PLANO; TIPO RECARGABLE DE BOLSILLO; PILA TIPO AA; CANT DE PILAS 4; LUZ HALOGENA; POTENCIA LAMPARA 2,0 Vatios; FUNCI",PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30051,,RESALTADOR; PUNTA CUADRADA; TRAZO DELGADO; COLOR CELESTE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30052,,RESALTADOR; PUNTA CUADRADA; TRAZO CUADRADO; COLOR NARANJA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30053,, PORTA CLIPS MAGNETICO; MATERIAL ACRILICO; FORMA RECTANGULAR; MEDIDAS 7 X 4 X 4 cm,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30054,,LIBRO DE ACTAS; CANT DE HOJAS 200; TAMAÑO OFICIO; NUMERADO CADA PAGINA; TIPO DE HOJA RAYADA C/MARGEN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30055,,DISCO COMPACTO; CAPACIDAD 700 MB; TIPO VIRGEN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30056,,PLUMAFUENTE; MATERIAL PLASTICO; NUMERO 17F-F,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30057,,SUJETA PAPELES; TAMAÑO 1/2 Plg.; TIPO METALICO,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30058,,SHAMPOO; CAPACIDAD 1 ltrs.; PRESENTACION FRASCO; USO PARA AUTO,FRASCO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30059,,RECOLECTOR DE BASURA; MATERIAL PLASTICO; ACCESORIO CEPILLO PALETA,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30060,,PEGAMENTO EN BARRA; ENVASE TUBO PLASTICO; CONTENIDO 40 gr,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30061,,ESTILETE; TAMAÑO GRANDE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30062,,ESTILETE; TAMAÑO MEDIANO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30063,,PAPEL BOND; TAMAÑO CARTA; GRAMAJE 75 grs.; COLOR BLANCO; PRESENTACION PAQUETE X 500 Hojas,PAQUETE,PAPEL,ACTIVO
30064,,PAPEL BOND; TAMAÑO OFICIO; GRAMAJE 75 grs.; COLOR BLANCO; PRESENTACION PAQUETE DE 500 Hojas,PAQUETE,PAPEL,ACTIVO
30065,,PORTAMINAS; MATERIAL METAL; DIAMETRO MINA 0.5 mms.; COLOR PORTAMINAS GRIS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30066,,PORTAMINAS; MATERIAL METAL; DIAMETRO MINA 0.7 mm; COLOR PORTAMINAS NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30067,,GRAPAS; NUMERO 23/17; MATERIAL METALICO; PRESENTACION 1.000 X Caja,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30068,,GRAPAS; NUMERO 23/13; MATERIAL METALICO; PRESENTACION 1.000 X Caja,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30069,,GRAPAS; NUMERO 23/15; MATERIAL METALICO; PRESENTACION 1.000 X Caja,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30070,,ESPONJA; MATERIAL POLIETILENO; ADITAMENTO POLIESTER; MEDIDAS 15 X 10 cm,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30071,,AMBIENTADOR SOLIDO; ENVASE CARTON PERFUMADO; CONTENIDO SIN ESPECIFICACION; FRAGANCIA SURTIDO,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30072,,MARCADOR PARA PIZARRA ACRILICA; COLOR AZUL; PUNTA REDONDA 13 mm,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30073,,MARCADOR PARA PIZARRA ACRILICA; COLOR NEGRO; PUNTA REDONDA 13 mm,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30074,,MARCADOR PARA PIZARRA ACRILICA; COLOR ROJO; PUNTA REDONDA 13 mm,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30075,,ENGRAPADORA; CAPACIDAD 120 HOJAS; TAMAÑO GRAPAS 23/17,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30076,,PERFORADORA; ALTO 30 HOJAS; NRO. DE PERFORACIONES 2,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30077,,PERFORADORA; ALTO 80 HOJAS; NRO. DE PERFORACIONES 2,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30078,,FOLDERS; MATERIAL FLIP ESPECIAL; TAMAÑO OFICIO; COLOR SURTIDO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30079,,FOLDERS; MATERIAL FLIP ESPECIAL; TAMAÑO CARTA; COLOR SURTIDO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30080,,SACAGRAPAS; MATERIAL AGARRADORES GOMA ENDURECIDA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30081,,ARANDELAS ADHESIVAS; MATERIAL PAPEL; PRESENTACION 350 X Caja,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30082,,TAJADOR; MATERIAL METALICO; NUMERO DE CUCHILLAS 1,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30083,,TONER PARA IMPRESORA; SERIE C7115A; MODELO DE IMPRESORA HP LASERJET 1200 SERIES; COLOR TINTA NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30084,,"TAMPO PARA SELLOS CON TINTA; MATERIAL PLASTICO; MEDIDAS 12,5 X 8,5 CM; COLOR DE TINTA AZUL ",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30085,,TAJADOR DE ESCRITORIO MANUAL; MATERIAL METALICO; ANCHO DE LAPIZ MULTIPLES MEDIDAS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30086,,CORRECTOR PARA ESCRITURA EN CINTA; MEDIDAS 5 MM. X 8 MTS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30087,,BOLIGRAFO; TIPO DESECHABLE; MATERIAL BASE PLASTICO; TRAZO FINO; COLOR DE TINTA AZUL,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30088,,BOLIGRAFO; TIPO DESECHABLE; MATERIAL BASE PLASTICO; TRAZO FINO; COLOR DE TINTA NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30089,,BOLIGRAFO; TIPO DESECHABLE; MATERIAL BASE PLASTICO; TRAZO FINO; COLOR DE TINTA VERDE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30090,,BOLIGRAFO; TIPO CON REPUESTO; MATERIAL BASE METALICO; TRAZO MEDIO; COLOR DE TINTA AZUL,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30091,,CEPILLO DE MANO; USO ROPA; MATERIAL BASE PLASTICO; TIPO DE CERDA PLASTICA,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30092,,TAPETE DE PISO; MATERIAL GOMA; MEDIDA 0.50 X 0.74 mts.,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30093,,PAPEL BOND; TAMAÑO CARTA; GRAMAJE 75 GRS; COLOR CELESTE; PRESENTACION PAQUETE DE 500 HOJAS,PAQUETE,PAPEL,ACTIVO
30094,,RESALTADOR; PUNTA CUADRADA; TRAZO CUADRADO; COLOR AMARILLO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30095,,RESALTADOR; PUNTA CUADRADA; TRAZO CUADRADO; COLOR VERDE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30096,,RESALTADOR; PUNTA CUADRADA; TRAZO CUADRADO; COLOR ROSADO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30097,,TIJERAS PARA CORTAR PAPEL; DE ESCRITORIO; TAMAÑO MEDIO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30098,,ZOCALO PARA TUBO FLUORESCENTE; TIPO AEREO,PAR,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30099,,TONER PARA FOTOCOPIADORA; MODELO DE FOTOCOPIADORA XEROX 1025/1038; COLOR NEGRO; NUMERO DE SERIE 6R121,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30100,,CONECTOR RJ-11; PRESENTACION UNIDAD,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30101,,ACCESORIO PARA COMPUTADOR; TIPO MOUSE,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
30102,,FOLDERS; MATERIAL CARTULINA; TAMAÑO OFICIO; COLOR AMARILLO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30103,,FUNDA PARA HOJAS; TAMAÑO OFICIO; COLOR TRANSPARENTE; PERFORACIONES 11; MATERIAL PLASTICO; PRESENTACION POR UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30104,,CUADERNO EMPASTADO; TAPA CARTON; TIPO DE HOJA CUADRICULA NORMAL; TAMAÑO OFICIO; PRESENTACION 100 Hojas,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30105,,CUADERNO EMPASTADO; TAPA CARTON; TIPO DE HOJA CUADRICULA NORMAL; TAMAÑO MEDIO OFICIO; PRESENTACION 100 Hojas,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30106,,CUADERNO CON ESPIRAL; TAPA CARTON GRUESO; TIPO DE HOJA CUADRICULADA; TAMAÑO MEDIO OFICIO; PRESENTACION 100 Hojas,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30107,,FOLDERS; MATERIAL CARTULINA; TAMAÑO CARTA; COLOR AMARILLO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30108,,CUADERNO CON ESPIRAL; TAPA CARTON; TIPO DE HOJA CUADRICULADA; TAMAÑO CARTA; PRESENTACION 100 Hojas,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30109,,PRODUCTO DE ARTES GRAFICAS; TIPO DE PRODUCTO FOLDERS IMPRESOS; MEMBRETADO INSTITUCIONAL; TAMAÑO OFICIO FULL COLOR,PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
30110,,"PRODUCTO DE ARTES GRAFICAS; TIPO DE PRODUCTO FOLDERS IMPRESOS; COLOR AMARILLO, TAMAÑO CARTA",PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
30111,,PAPEL BOND; TAMAÑO CARTA; GRAMAJE 75 grs.; COLOR VERDE; PRESENTACION PAQUETE DE 500 HOJAS,PAQUETE,PAPEL,ACTIVO
30112,,FOLDERS; MATERIAL PLASTICO TAPA TRANSPARENTE; TAMAÑO OFICIO CON FASTENER; COLOR SURTIDO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30113,,MARCADOR PARA PIZARRA ACRILICA; PUNTA REDONDA 13 mms.; COLOR VERDE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30114,,SELLO; TIPO PRINTY; NUMERO 4911; LINEAL PIE DE FIRMA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30115,,PAPEL BOND; TAMAÑO CARTA; GRAMAJE 75 grs.; COLOR SURTIDO; PRESENTACION PAQUETE X 100 Hojas,PAQUETE,PAPEL,ACTIVO
30116,,CINTA AISLANTE; ANCHO 18 mms.; COLOR BLANCO; LONGITUD 20 mts.; MATERIAL PVC,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30117,,ARCHIVADOR DE PALANCA; MATERIAL CARTON; TAMAÑO OFICIO; LOMO MEDIO PLASTIFICADO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30118,,TAMPO PARA SELLOS; MATERIAL PLASTICO; MEDIDA SELLO AUTOMATICO Nº 4911,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30119,,LENTES DE PROTECCION; MATERIAL POLICARBONATO OSCURO; TIPO ANTIEMPAÑANTE DE SEGURIDAD,PIEZA,PRENDAS DE VESTIR,ACTIVO
30120,,LIMPIA METALES; CONTENIDO 170 grs.; ENVASE SPRAY; USO TODO METAL,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30121,,MARCADOR; PUNTA CINCELADO; TRAZO GRUESO; COLOR NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30122,,MARCADOR; PUNTA CINCELADO; TRAZO GRUESO; COLOR ROJO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30123,,PERFORADORA; ALTO 200; NRO. DE PERFORACIONES 2,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30124,,PORTA REVISTAS; MATERIAL PLASTICO; CAPACIDAD 15; TIPO DE PIE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30125,,TUBO DE MINAS; DIAMETRO 0.5 mms.; NUMERO HB COLOR ROJO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30126,,TAMPO PARA SELLOS CON TINTA; MATERIAL PLASTICO; REPUESTO PARA TRODAT MODELO PRINTY 4911; MEDIDAS 2 X 4 cms.; COLOR DE TINTA NEGRA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30127,,TAPAS PLASTICAS PARA ANILLADO; PRESENTACION TAMAÑO OFICIO; COLOR SURTIDO; ESPESOR MEDIO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30128,,MICROPUNTA; PUNTA 0.5; COLOR TINTA AZUL; PRESENTACION X UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30129,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-579R T01C1; STYLUS C80 ; COLOR NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30130,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-579R T02C2; STYLUS C80 ; COLOR CYAN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30131,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-579R T03C3; STYLUS C80 ; COLOR MAGENTA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30132,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-579R T04C4; STYLUS C80 ; COLOR AMARILLO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30133,,CERA PARA AUTOMOTOR; ENVASE LATA; CONTENIDO 200 grs.,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30134,,CARTAPACIO; MATERIAL PLASTICO; TAMAÑO CARTA; N° DE PERFORACIONES 2,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30135,,DISCO COMPACTO; CAPACIDAD 700 MB; TIPO VIRGEN EN TAMBOR DE 50 UNIDADES,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30136,,PILA SECA MEDIDA CR 123A; TENSION 2 VOLTS; TIPO LITHIUM FOTO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30137,,SODA CAUSTICA; PRESENTACION POR KILO,FRASCO,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
30138,,CABLE PLANO PARA TELEFONIA; NUMERO DE CONDUCTORES 2; PRESENTACION POR METRO,METRO,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30139,,FUNDA PARA HOJAS; TAMAÑO CARTA; COLOR TRANSPARENTE; PRESENTACION POR UNIDAD; PERFORACIONES 11; MATERIAL PLASTICO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30140,,SUJETA PAPELES; TAMAÑO 51 mms.; TIPO BULLDOG,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30141,,SUJETA PAPELES; TAMAÑO 25 mms.; TIPO BULLDOG,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30142,,SUJETA PAPELES; TAMAÑO 41 mms.; TIPO BULLDOG,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30143,,SUJETA PAPELES; TAMAÑO 32 mms.; TIPO BULLDOG,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30144,,BOLIGRAFO; TIPO DURABLE; MATERIAL BASE PLASTICO; TRAZO FINO PUNTA METAL; COLOR DE TINTA ROJO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30145,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 1100; COLOR TINTA NEGRO; SERIE C4092A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30146,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-5710 R04L; STYLUS C80 ; COLOR NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30147,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-5710 R04L; STYLUS C80 ; COLOR CYAN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30148,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-5710 R04L; STYLUS C80 ; COLOR MAGENTA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30149,,CARTUCHO PARA IMPRESORA; MODELO DE IMPRESORA EPSON WORKFORCE PRO WF-5710 R04L; STYLUS C80 ; COLOR AMARILLO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30150,,TARJETA MAGNETICA CON CHIP INTELIGENTE; MATERIAL PLASTICO; CHIP DE 125KHZ,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
