continent,country,year,fertility,lifeExpectancy,mean_house_income,median_age_year,population
North America,Canada,1950,3.45,68.5,6750.0,26.7,13700000.0
Europe,Switzerland,1950,2.33,69.0,8450.0,32.2,4690000.0
South America,Chile,1950,4.82,50.3,2800.0,19.4,6620000.0
Asia,China,1950,5.29,41.6,202.0,22.2,544000000.0
Africa,Cameroon,1950,5.54,42.4,703.0,19.4,4320000.0
South America,Colombia,1950,6.77,54.1,1490.0,16.9,11800000.0
Africa,Comoros,1950,5.69,44.7,1630.0,20.1,162000.0
Africa,Cape Verde,1950,6.5,56.2,538.0,16.8,185000.0
North America,Costa Rica,1950,6.15,57.5,567.0,17.3,948000.0
North America,Cuba,1950,4.76,66.4,5000.0,21.2,5930000.0
Europe,Cyprus,1950,3.85,62.2,1040.0,22.7,494000.0
Europe,Czech Republic,1950,2.89,64.3,2790.0,31.3,8920000.0
Europe,Germany,1950,2.08,66.5,3570.0,33.4,71000000.0
Africa,Djibouti,1950,6.3,54.6,2380.0,15.6,62300.0
Europe,Denmark,1950,2.58,70.7,4630.0,30.7,4270000.0
North America,Dominican Republic,1950,7.51,56.2,552.0,15.9,2380000.0
Africa,Algeria,1950,7.49,55.1,959.0,18.4,9020000.0
South America,Ecuador,1950,6.7,50.3,1030.0,19.0,3520000.0
Africa,Egypt,1950,6.65,41.3,489.0,19.6,21200000.0
Africa,Eritrea,1950,6.92,39.8,2230.0,16.3,823000.0
Europe,Spain,1950,2.45,61.8,1500.0,26.5,28100000.0
Europe,Estonia,1950,2.09,66.7,2260.0,28.9,1100000.0
Africa,Ethiopia,1950,7.35,33.3,805.0,16.9,17700000.0
Europe,Finland,1950,3.16,64.5,2980.0,26.7,4010000.0
Oceania,Fiji,1950,6.3,59.3,991.0,16.7,308000.0
Europe,France,1950,2.83,67.1,3480.0,33.5,41800000.0
Africa,Gabon,1950,5.15,48.6,98.0,27.1,473000.0
Europe,United Kingdom,1950,2.08,68.9,5220.0,33.9,50100000.0
Europe,Georgia,1950,3.1,49.6,2480.0,24.9,3520000.0
Africa,Ghana,1950,6.37,47.1,924.0,17.7,5080000.0
Africa,Guinea,1950,5.98,38.4,155.0,20.7,2980000.0
Africa,Gambia,1950,5.23,51.8,457.0,17.0,307000.0
Africa,Guinea-Bissau,1950,7.09,33.3,737.0,20.4,543000.0
Africa,Equatorial Guinea,1950,5.58,39.3,284.0,22.5,226000.0
Europe,Greece,1950,2.36,69.0,1560.0,24.6,7670000.0
North America,Grenada,1950,5.18,58.6,1280.0,15.1,77000.0
North America,Guatemala,1950,7.2,42.7,783.0,16.8,3100000.0
South America,Guyana,1950,5.48,51.8,1930.0,18.6,418000.0
North America,Honduras,1950,7.47,40.8,1360.0,17.6,1560000.0
Europe,Croatia,1950,2.95,55.0,1860.0,26.7,3860000.0
North America,Haiti,1950,6.31,42.5,1610.0,19.0,3250000.0
Europe,Hungary,1950,2.78,61.9,2490.0,29.1,9340000.0
Asia,Indonesia,1950,5.35,36.4,264.0,17.8,69600000.0
Asia,India,1950,5.9,43.4,525.0,20.0,357000000.0
Europe,Ireland,1950,3.48,66.0,2150.0,29.1,2910000.0
Asia,Iran,1950,6.92,39.4,1350.0,20.6,16800000.0
Asia,Iraq,1950,8.11,56.0,526.0,20.5,5660000.0
Europe,Iceland,1950,3.62,71.5,3920.0,25.5,143000.0
Asia,Israel,1950,4.52,73.0,1640.0,24.6,1280000.0
Europe,Italy,1950,2.45,65.9,2690.0,27.5,46400000.0
North America,Jamaica,1950,3.8,57.5,1150.0,21.1,1410000.0
Asia,Jordan,1950,7.56,56.9,1430.0,17.1,438000.0
Asia,Japan,1950,3.48,59.8,1040.0,21.2,84400000.0
Asia,Kazakhstan,1950,4.3,57.4,2430.0,22.0,6660000.0
Africa,Kenya,1950,7.36,48.8,1990.0,16.0,5770000.0
Asia,Kyrgyz Republic,1950,4.23,50.0,956.0,23.6,1750000.0
Asia,Cambodia,1950,6.95,46.2,911.0,17.5,4380000.0
Oceania,Kiribati,1950,5.75,44.7,1990.0,21.1,37800.0
Asia,South Korea,1950,4.46,43.0,381.0,17.6,20100000.0
Asia,Kuwait,1950,7.22,65.3,1090.0,20.3,154000.0
Asia,Lao,1950,5.94,38.9,756.0,18.8,1680000.0
Asia,Lebanon,1950,5.76,58.8,4220.0,22.0,1350000.0
Africa,Liberia,1950,6.25,38.0,1490.0,17.9,916000.0
Africa,Libya,1950,7.16,47.3,2740.0,19.7,1130000.0
North America,St. Lucia,1950,5.34,51.8,193.0,18.5,86700.0
Asia,Sri Lanka,1950,5.86,56.3,849.0,20.3,7950000.0
Africa,Lesotho,1950,5.81,52.0,226.0,17.7,579000.0
Europe,Lithuania,1950,2.78,67.1,1940.0,25.1,2560000.0
Europe,Luxembourg,1950,1.87,66.4,5570.0,33.9,297000.0
Europe,Latvia,1950,2.01,64.7,2570.0,29.2,1920000.0
Africa,Morocco,1950,6.49,44.6,1210.0,18.3,8950000.0
Europe,Moldova,1950,3.48,53.4,2220.0,25.4,2370000.0
Africa,Madagascar,1950,7.3,41.3,955.0,19.7,3950000.0
Asia,Maldives,1950,5.6,30.6,231.0,17.4,74500.0
North America,Mexico,1950,6.66,48.8,1270.0,16.9,27600000.0
Europe,North Macedonia,1950,4.73,50.2,915.0,20.1,1250000.0
Africa,Mali,1950,6.65,35.2,235.0,19.4,4690000.0
Europe,Malta,1950,4.21,63.2,1390.0,23.7,292000.0
Asia,Myanmar,1950,6.03,34.6,250.0,20.7,17700000.0
Europe,Montenegro,1950,4.32,67.5,1630.0,20.7,402000.0
Asia,Mongolia,1950,5.5,38.9,337.0,23.8,781000.0
Africa,Mozambique,1950,6.77,43.0,417.0,19.1,5920000.0
Africa,Mauritania,1950,6.12,47.6,479.0,16.7,659000.0
Africa,Mauritius,1950,6.05,53.1,729.0,17.9,525000.0
Africa,Malawi,1950,6.81,34.4,639.0,16.1,2950000.0
Asia,Malaysia,1950,6.27,53.5,1540.0,18.8,5970000.0
Africa,Namibia,1950,5.96,54.8,1530.0,19.8,515000.0
Africa,Niger,1950,7.04,37.8,673.0,14.2,2570000.0
Africa,Nigeria,1950,6.36,44.8,823.0,18.1,37200000.0
North America,Nicaragua,1950,6.88,47.7,2470.0,16.5,1330000.0
Europe,Netherlands,1950,3.1,71.6,3750.0,27.0,10100000.0
Europe,Norway,1950,2.52,71.9,3660.0,31.4,3280000.0
Asia,Nepal,1950,5.98,40.6,458.0,18.6,8400000.0
Oceania,New Zealand,1950,3.47,69.5,8010.0,28.4,1910000.0
Asia,Oman,1950,7.25,40.8,554.0,17.8,457000.0
Asia,Pakistan,1950,6.6,46.0,313.0,18.7,37700000.0
North America,Panama,1950,5.68,60.8,1470.0,17.7,861000.0
South America,Peru,1950,6.9,38.1,1480.0,17.9,7680000.0
Asia,Philippines,1950,6.76,55.1,747.0,16.8,18500000.0
Oceania,Papua New Guinea,1950,6.23,49.6,485.0,17.3,1540000.0
Europe,Poland,1950,3.6,59.0,2220.0,24.8,24800000.0
Asia,North Korea,1950,1.95,36.0,701.0,16.3,11100000.0
Europe,Portugal,1950,3.1,59.3,1450.0,25.0,8420000.0
South America,Paraguay,1950,6.49,61.1,2550.0,15.9,1500000.0
Asia,Qatar,1950,6.97,64.5,140.0,17.6,24300.0
Europe,Romania,1950,3.58,60.5,1460.0,25.2,16399999.999999998
Asia,Russia,1950,2.88,57.3,762.0,23.4,103000000.0
Africa,Rwanda,1950,7.92,36.5,396.0,17.2,2150000.0
Asia,Saudi Arabia,1950,7.2,50.9,477.0,17.9,3090000.0
Africa,Sudan,1950,6.68,46.9,896.0,16.1,6190000.0
Africa,Senegal,1950,6.6,45.2,729.0,18.0,2500000.0
Asia,Singapore,1950,6.49,57.0,3450.0,18.9,1010000.0
Oceania,Solomon Islands,1950,6.4,42.1,667.0,16.8,105000.0
Africa,Sierra Leone,1950,5.89,40.0,604.0,19.4,2000000.0
North America,El Salvador,1950,6.19,46.0,1950.0,17.2,2180000.0
Africa,Somalia,1950,7.25,44.2,638.0,18.5,2210000.0
Europe,Serbia,1950,3.59,54.4,2400.0,24.5,6020000.0
Africa,South Sudan,1950,6.68,47.2,595.0,17.5,2490000.0
Africa,Sao Tome and Principe,1950,6.23,40.7,657.0,23.7,61000.0
South America,Suriname,1950,6.58,57.7,1460.0,18.1,196000.0
Europe,Slovak Republic,1950,3.59,60.7,2890.0,26.0,3470000.0
Europe,Slovenia,1950,2.8,58.5,1670.0,26.0,1450000.0
Europe,Sweden,1950,2.28,71.4,4360.0,33.2,7010000.0
Africa,Seychelles,1950,5.16,60.0,1850.0,26.1,38100.0
Asia,Syria,1950,7.18,55.0,843.0,19.6,3540000.0
Africa,Chad,1950,6.06,45.0,729.0,20.4,2510000.0
Africa,Togo,1950,6.34,44.8,790.0,18.2,1400000.0
Asia,Thailand,1950,6.13,53.8,624.0,17.5,20400000.0
Asia,Tajikistan,1950,5.5,46.2,1690.0,20.8,1530000.0
Asia,Turkmenistan,1950,5.63,48.4,514.0,22.4,1210000.0
Asia,Timor-Leste,1950,6.51,42.5,447.0,17.1,415000.0
Oceania,Tonga,1950,7.33,61.5,1090.0,16.5,49800.0
North America,Trinidad and Tobago,1950,5.28,57.4,2000.0,19.8,649000.0
Africa,Tunisia,1950,6.66,43.8,708.0,19.1,3610000.0
Asia,Turkey,1950,6.7,45.0,1080.0,18.6,21000000.0
Africa,Tanzania,1950,6.7,43.8,395.0,16.0,7630000.0
Africa,Uganda,1950,6.89,47.1,429.0,18.1,5750000.0
Europe,Ukraine,1950,2.72,68.2,867.0,26.4,37300000.0
South America,Uruguay,1950,2.69,65.1,5150.0,26.8,2230000.0
North America,United States,1950,3.02,68.3,8600.0,29.3,148000000.0
Asia,Uzbekistan,1950,5.43,56.3,1260.0,22.7,6250000.0
North America,St. Vincent and the Grenadines,1950,7.26,53.6,1440.0,18.1,61500.0
South America,Venezuela,1950,6.54,58.7,3330.0,16.1,5490000.0
Asia,Vietnam,1950,4.96,52.3,530.0,23.1,25100000.0
Oceania,Vanuatu,1950,7.68,47.4,779.0,17.6,51600.0
Oceania,Samoa,1950,7.64,54.4,1870.0,14.8,88000.0
Asia,Yemen,1950,7.32,31.9,750.0,18.2,4710000.0
Africa,South Africa,1950,6.35,52.1,2140.0,19.2,13000000.0
Africa,Zambia,1950,6.67,47.0,1270.0,16.4,2320000.0
Africa,Zimbabwe,1950,6.75,53.8,1600.0,17.4,2790000.0
Asia,Afghanistan,1951,7.56,42.9,998.0,18.4,7570000.0
Africa,Angola,1951,7.13,45.6,790.0,18.9,4570000.0
Europe,Albania,1951,5.97,53.6,997.0,19.6,1290000.0
Asia,United Arab Emirates,1951,6.95,58.5,724.0,17.0,79800.0
South America,Argentina,1951,3.16,63.5,4990.0,24.5,17400000.0
Europe,Armenia,1951,4.51,49.0,1530.0,21.3,1420000.0
North America,Antigua and Barbuda,1951,4.46,58.7,2490.0,17.9,46400.0
Oceania,Australia,1951,3.06,69.2,6290.0,29.3,8420000.0
Europe,Austria,1951,2.02,65.5,3440.0,34.9,6930000.0
Europe,Azerbaijan,1951,5.25,38.4,2230.0,20.4,3230000.0
Africa,Burundi,1951,6.81,40.5,249.0,18.1,2300000.0
Europe,Belgium,1951,2.32,67.1,4660.0,34.5,8660000.0
Africa,Benin,1951,5.78,43.7,689.0,22.8,2280000.0
Africa,Burkina Faso,1951,6.05,36.4,311.0,18.6,4260000.0
Asia,Bangladesh,1951,6.27,39.9,819.0,18.3,40500000.0
Europe,Bulgaria,1951,2.62,60.2,2750.0,26.3,7230000.0
Asia,Bahrain,1951,7.01,51.0,4470.0,17.7,120000.0
North America,Bahamas,1951,3.99,58.5,6360.0,19.8,82900.0
Europe,Bosnia and Herzegovina,1951,5.13,49.2,852.0,19.0,2740000.0
Europe,Belarus,1951,2.54,68.3,1280.0,24.9,7880000.0
North America,Belize,1951,6.68,56.0,1190.0,19.2,71200.0
South America,Bolivia,1951,6.73,37.1,2400.0,19.4,3140000.0
South America,Brazil,1951,6.17,48.0,811.0,17.5,55600000.0
North America,Barbados,1951,4.49,59.2,1890.0,21.6,215000.0
Asia,Brunei,1951,7.36,52.6,4300.0,20.8,51100.0
Asia,Bhutan,1951,6.67,37.4,291.0,17.2,180000.0
Africa,Botswana,1951,6.48,53.8,214.0,17.9,423000.0
Africa,Central African Republic,1951,5.43,43.8,642.0,21.0,1460000.0
North America,Canada,1951,3.49,68.8,6970.0,26.7,14100000.0
Europe,Switzerland,1951,2.32,69.0,9020.0,32.1,4750000.0
South America,Chile,1951,4.9,50.9,2840.0,19.4,6750000.0
Asia,China,1951,5.26,42.6,219.0,21.9,554000000.0
Africa,Cameroon,1951,5.52,42.4,722.0,19.5,4380000.0
South America,Colombia,1951,6.77,54.6,1480.0,16.8,12100000.0
Africa,Comoros,1951,5.77,40.7,1690.0,20.1,165000.0
Africa,Cape Verde,1951,6.51,56.4,541.0,16.9,187000.0
North America,Costa Rica,1951,6.17,59.0,564.0,17.2,980000.0
North America,Cuba,1951,4.56,66.5,5360.0,21.2,6050000.0
Europe,Cyprus,1951,3.81,62.5,1080.0,22.7,501000.0
Europe,Czech Republic,1951,2.84,65.2,2810.0,30.8,9000000.0
Europe,Germany,1951,2.09,66.9,3880.0,33.4,70800000.0
Africa,Djibouti,1951,6.3,54.7,2460.0,15.7,64300.0
Europe,Denmark,1951,2.5,71.0,4630.0,30.8,4300000.0
North America,Dominican Republic,1951,7.54,57.8,602.0,15.9,2460000.0
Africa,Algeria,1951,7.47,55.6,954.0,18.2,9270000.0
South America,Ecuador,1951,6.71,50.9,1020.0,18.7,3610000.0
Africa,Egypt,1951,6.66,41.5,490.0,19.6,21600000.0
Africa,Eritrea,1951,6.94,40.0,2250.0,16.5,835000.0
Europe,Spain,1951,2.47,62.2,1650.0,26.8,28200000.0
Europe,Estonia,1951,2.08,66.9,2230.0,28.7,1120000.0
Africa,Ethiopia,1951,7.3,33.5,815.0,16.9,18100000.0
Europe,Finland,1951,3.01,65.8,3200.0,26.7,4050000.0
Oceania,Fiji,1951,6.4,59.9,1020.0,16.4,313000.0
Europe,France,1951,2.81,66.7,3650.0,32.5,42200000.0
Africa,Gabon,1951,5.11,48.7,106.0,27.0,476000.0
Europe,United Kingdom,1951,2.1,68.8,5350.0,34.0,50300000.0
Europe,Georgia,1951,3.04,50.4,2450.0,25.0,3560000.0
Africa,Ghana,1951,6.39,47.3,936.0,17.8,5220000.0
Africa,Guinea,1951,5.98,38.5,162.0,20.6,3030000.0
Africa,Gambia,1951,5.24,52.1,473.0,17.3,315000.0
Africa,Guinea-Bissau,1951,6.78,33.6,765.0,20.5,549000.0
Africa,Equatorial Guinea,1951,5.59,39.3,294.0,22.3,230000.0
Europe,Greece,1951,2.38,69.2,1680.0,24.8,7770000.0
North America,Grenada,1951,5.36,59.0,1310.0,15.3,77400.0
North America,Guatemala,1951,7.16,44.1,771.0,16.8,3190000.0
South America,Guyana,1951,5.6,52.6,1880.0,18.3,428000.0
North America,Honduras,1951,7.48,41.7,1390.0,17.4,1600000.0
Europe,Croatia,1951,2.9,54.3,1910.0,26.7,3900000.0
North America,Haiti,1951,6.31,42.7,1610.0,18.9,3300000.0
Europe,Hungary,1951,2.76,62.5,2720.0,29.3,9420000.0
Asia,Indonesia,1951,5.39,36.9,280.0,18.1,71000000.0
Asia,India,1951,5.9,44.0,525.0,20.0,365000000.0
Europe,Ireland,1951,3.45,65.8,2210.0,29.0,2920000.0
Asia,Iran,1951,6.91,39.8,1330.0,20.5,17200000.0
Asia,Iraq,1951,7.88,56.3,557.0,20.4,5780000.0
Europe,Iceland,1951,3.69,71.8,3770.0,25.5,145000.0
Asia,Israel,1951,4.45,72.0,1840.0,24.7,1340000.0
Europe,Italy,1951,2.42,65.7,2840.0,27.8,46800000.0
North America,Jamaica,1951,3.91,57.9,1230.0,21.2,1450000.0
Asia,Jordan,1951,7.5,57.0,1460.0,17.0,470000.0
Asia,Japan,1951,3.34,61.5,1110.0,21.4,85700000.0
Asia,Kazakhstan,1951,4.33,57.6,2410.0,22.2,6890000.0
Africa,Kenya,1951,7.39,49.6,2280.0,16.0,5910000.0
Asia,Kyrgyz Republic,1951,4.26,50.4,974.0,23.5,1790000.0
Asia,Cambodia,1951,6.95,46.4,919.0,17.5,4490000.0
Oceania,Kiribati,1951,5.85,45.0,2050.0,20.7,38600.0
Asia,South Korea,1951,4.76,41.1,355.0,17.4,20100000.0
Asia,Kuwait,1951,7.22,65.4,1410.0,20.5,158000.0
Asia,Lao,1951,5.94,39.0,765.0,18.7,1730000.0
Asia,Lebanon,1951,5.75,60.0,3740.0,21.7,1390000.0
Africa,Liberia,1951,6.26,38.3,1540.0,18.0,933000.0
Africa,Libya,1951,7.17,47.8,2980.0,19.6,1140000.0
North America,St. Lucia,1951,5.53,52.3,202.0,18.3,87300.0
Asia,Sri Lanka,1951,5.87,56.0,875.0,20.1,8090000.0
Africa,Lesotho,1951,5.82,52.2,236.0,17.4,590000.0
Europe,Lithuania,1951,2.79,67.1,1910.0,25.1,2590000.0
Europe,Luxembourg,1951,1.9,66.5,5190.0,34.0,298000.0
Europe,Latvia,1951,2.01,66.2,2540.0,29.2,1940000.0
Africa,Morocco,1951,6.52,44.9,1210.0,18.2,9190000.0
Europe,Moldova,1951,3.49,53.8,2190.0,25.1,2430000.0
Africa,Madagascar,1951,7.3,41.4,976.0,19.5,4050000.0
Asia,Maldives,1951,5.72,31.3,237.0,17.7,75800.0
North America,Mexico,1951,6.68,48.9,1330.0,16.7,28300000.0
Europe,North Macedonia,1951,4.72,46.2,940.0,20.2,1280000.0
Africa,Mali,1951,6.68,35.4,240.0,19.4,4760000.0
Europe,Malta,1951,4.2,63.6,1410.0,23.3,298000.0
Asia,Myanmar,1951,6.02,35.4,280.0,20.7,18100000.0
Europe,Montenegro,1951,4.31,67.2,1680.0,20.7,410000.0
Asia,Mongolia,1951,5.5,39.3,348.0,23.5,793000.0
Africa,Mozambique,1951,6.79,43.1,425.0,19.1,6000000.0
Africa,Mauritania,1951,6.18,47.9,496.0,16.8,673000.0
Africa,Mauritius,1951,5.99,52.9,745.0,17.5,541000.0
Africa,Malawi,1951,6.81,34.6,658.0,16.3,3000000.0
Asia,Malaysia,1951,6.28,53.6,1430.0,18.4,6120000.0
Africa,Namibia,1951,5.97,54.9,1540.0,19.6,521000.0
Africa,Niger,1951,7.06,37.7,688.0,14.2,2660000.0
Africa,Nigeria,1951,6.36,44.9,855.0,18.2,37900000.0
North America,Nicaragua,1951,6.98,48.4,2550.0,16.3,1370000.0
Europe,Netherlands,1951,3.05,71.7,3780.0,27.2,10200000.0
Europe,Norway,1951,2.48,72.2,3830.0,31.7,3300000.0
Asia,Nepal,1951,5.98,40.9,465.0,18.6,8580000.0
Oceania,New Zealand,1951,3.27,69.5,7260.0,28.3,1950000.0
Asia,Oman,1951,7.25,41.2,579.0,17.8,464000.0
Asia,Pakistan,1951,6.6,46.4,296.0,18.7,38200000.0
North America,Panama,1951,5.7,61.2,1430.0,17.6,883000.0
South America,Peru,1951,6.9,38.5,1540.0,17.9,7900000.0
Asia,Philippines,1951,6.88,54.2,804.0,16.5,19300000.0
Oceania,Papua New Guinea,1951,6.23,47.2,492.0,17.5,1570000.0
Europe,Poland,1951,3.62,57.9,2290.0,24.9,25200000.0
Asia,North Korea,1951,2.41,26.5,589.0,16.1,10600000.0
Europe,Portugal,1951,3.1,60.0,1510.0,25.2,8470000.0
South America,Paraguay,1951,6.49,62.2,2530.0,15.7,1540000.0
Asia,Qatar,1951,6.97,64.5,170.0,17.4,25100.0
Europe,Romania,1951,3.43,61.3,1560.0,25.3,16600000.000000002
Asia,Russia,1951,2.88,60.0,754.0,23.6,104000000.0
Africa,Rwanda,1951,7.94,36.6,412.0,17.1,2230000.0
Asia,Saudi Arabia,1951,7.19,51.3,554.0,17.8,3180000.0
Africa,Sudan,1951,6.67,47.1,915.0,16.1,6380000.0
Africa,Senegal,1951,6.63,45.4,742.0,17.9,2560000.0
Asia,Singapore,1951,6.54,57.6,3270.0,18.8,1050000.0
Oceania,Solomon Islands,1951,6.4,42.3,678.0,16.8,107000.0
Africa,Sierra Leone,1951,5.9,40.3,626.0,19.5,2029999.9999999998
North America,El Salvador,1951,6.23,45.6,1940.0,17.0,2230000.0
Africa,Somalia,1951,7.25,44.2,663.0,18.3,2280000.0
Europe,Serbia,1951,3.49,53.7,2450.0,24.7,6080000.0
Africa,South Sudan,1951,6.67,47.3,609.0,17.7,2530000.0
Africa,Sao Tome and Principe,1951,6.22,40.8,656.0,23.8,62000.0
South America,Suriname,1951,6.57,58.5,1500.0,17.7,201000.0
Europe,Slovak Republic,1951,3.57,61.3,2910.0,26.2,3520000.0
Europe,Slovenia,1951,2.75,58.0,1720.0,26.0,1460000.0
Europe,Sweden,1951,2.21,71.6,4330.0,33.3,7070000.0
Africa,Seychelles,1951,5.1,60.4,1960.0,25.3,38300.0
Asia,Syria,1951,7.19,54.9,792.0,19.4,3620000.0
Africa,Chad,1951,6.07,45.3,745.0,20.3,2560000.0
Africa,Togo,1951,6.33,45.0,803.0,18.1,1420000.0
Asia,Thailand,1951,6.13,54.5,647.0,17.5,20900000.0
Asia,Tajikistan,1951,5.53,46.5,1660.0,21.0,1580000.0
Asia,Turkmenistan,1951,5.58,48.8,508.0,22.5,1240000.0
Asia,Timor-Leste,1951,6.49,42.7,448.0,17.2,418000.0
Oceania,Tonga,1951,7.32,61.8,1100.0,16.5,51300.0
North America,Trinidad and Tobago,1951,5.28,57.6,2120.0,19.4,665000.0
Africa,Tunisia,1951,6.66,44.0,706.0,18.9,3670000.0
Asia,Turkey,1951,6.69,45.6,1290.0,18.6,21500000.0
Africa,Tanzania,1951,6.71,44.2,437.0,16.0,7830000.0
Africa,Uganda,1951,6.89,47.3,401.0,18.0,5910000.0
Europe,Ukraine,1951,2.75,68.3,856.0,26.4,37800000.0
South America,Uruguay,1951,2.7,65.9,5420.0,26.9,2260000.0
North America,United States,1951,3.2,68.4,9090.0,29.3,151000000.0
Asia,Uzbekistan,1951,5.46,56.6,1240.0,22.7,6410000.0
North America,St. Vincent and the Grenadines,1951,7.28,54.5,1480.0,17.4,63400.0
South America,Venezuela,1951,6.51,59.0,3390.0,16.2,5730000.0
Asia,Vietnam,1951,5.08,52.6,543.0,22.9,25600000.0
Oceania,Vanuatu,1951,7.66,45.0,789.0,17.5,52400.0
Oceania,Samoa,1951,7.64,55.0,1900.0,14.7,89900.0
Asia,Yemen,1951,7.32,32.3,755.0,18.2,4780000.0
Africa,South Africa,1951,6.34,52.3,2170.0,19.1,13300000.0
Africa,Zambia,1951,6.68,47.2,1320.0,16.4,2380000.0
Africa,Zimbabwe,1951,6.76,53.9,1650.0,17.2,2880000.0
Asia,Afghanistan,1952,7.55,43.1,1020.0,18.4,7670000.0
Africa,Angola,1952,7.15,45.6,810.0,18.9,4660000.0
Europe,Albania,1952,6.13,54.5,999.0,19.6,1330000.0
Asia,United Arab Emirates,1952,6.97,58.6,728.0,16.7,85100.0
South America,Argentina,1952,3.16,64.2,4620.0,24.6,17700000.0
Europe,Armenia,1952,4.49,50.0,1600.0,21.5,1470000.0
North America,Antigua and Barbuda,1952,4.5,59.3,2550.0,17.8,47400.0
Oceania,Australia,1952,3.18,69.5,6220.0,29.3,8630000.0
Europe,Austria,1952,2.06,66.7,3450.0,34.8,6930000.0
Europe,Azerbaijan,1952,5.25,39.4,2330.0,20.5,3300000.0
Africa,Burundi,1952,6.8,40.8,252.0,17.9,2350000.0
Europe,Belgium,1952,2.34,68.0,4620.0,34.1,8700000.0
Africa,Benin,1952,5.83,43.8,677.0,22.4,2300000.0
Africa,Burkina Faso,1952,6.09,36.7,319.0,18.7,4310000.0
Asia,Bangladesh,1952,6.33,40.4,830.0,18.3,41400000.0
Europe,Bulgaria,1952,2.55,60.1,2620.0,26.6,7290000.0
Asia,Bahrain,1952,6.97,51.1,4660.0,17.6,124000.0
North America,Bahamas,1952,4.02,58.9,6600.0,19.5,84600.0
Europe,Bosnia and Herzegovina,1952,4.9,53.7,767.0,19.2,2790000.0
Europe,Belarus,1952,2.59,68.5,1330.0,24.8,7880000.0
North America,Belize,1952,6.66,56.9,1200.0,18.9,73500.0
South America,Bolivia,1952,6.75,37.2,2420.0,19.3,3190000.0
South America,Brazil,1952,6.15,48.5,841.0,17.4,57300000.0
North America,Barbados,1952,4.43,59.9,1990.0,21.5,219000.0
Asia,Brunei,1952,7.07,52.3,4380.0,20.1,54000.0
Asia,Bhutan,1952,6.67,37.8,294.0,17.4,184000.0
Africa,Botswana,1952,6.49,53.8,217.0,17.8,433000.0
Africa,Central African Republic,1952,5.49,43.9,656.0,20.9,1480000.0
North America,Canada,1952,3.61,69.0,7250.0,26.6,14500000.0
Europe,Switzerland,1952,2.3,69.6,8950.0,31.9,4810000.0
South America,Chile,1952,5.02,53.5,2960.0,19.5,6880000.0
Asia,China,1952,5.97,43.6,238.0,21.6,565000000.0
Africa,Cameroon,1952,5.49,42.9,741.0,19.6,4450000.0
South America,Colombia,1952,6.76,55.9,1520.0,16.7,12400000.0
Africa,Comoros,1952,5.93,45.1,1720.0,20.1,168000.0
Africa,Cape Verde,1952,6.55,56.6,545.0,16.9,189000.0
North America,Costa Rica,1952,6.25,59.3,612.0,17.1,1010000.0
North America,Cuba,1952,4.22,66.7,5470.0,21.2,6170000.0
Europe,Cyprus,1952,3.73,62.7,1130.0,22.7,509000.0
Europe,Czech Republic,1952,2.75,66.7,2870.0,30.8,9080000.0
Europe,Germany,1952,2.11,67.3,4220.0,33.2,70800000.0
Africa,Djibouti,1952,6.31,54.9,2470.0,15.8,66400.0
Europe,Denmark,1952,2.54,71.1,4640.0,31.0,4330000.0
